Id,SalePrice
1461,56117.40875740657
1462,74660.85253661592
1463,138260.0730007167
1464,150167.82349370484
1465,152161.50029540676
1466,156114.4379199444
1467,123082.19595406865
1468,149144.17748579546
1469,144214.361288968
1470,59986.76995421179
1471,124730.48294591183
1472,58188.34128375846
1473,56342.355651827194
1474,71157.05119399214
1475,58963.95649178291
1476,197588.57195730976
1477,164956.43546597875
1478,169672.94322776067
1479,162352.57742118914
1480,263334.0808032438
1481,189806.63686000954
1482,158535.1663622238
1483,145760.35138062702
1484,108377.04541055585
1485,147378.17130388913
1486,158548.9026027748
1487,174811.8977879096
1488,164259.8618163216
1489,141865.5452773792
1490,157745.99043537944
1491,149366.78578417143
1492,54430.8761107226
1493,115416.09269765124
1494,178670.82444474124
1495,170459.22694435273
1496,135301.2024674334
1497,135941.25988667292
1498,104611.57104670515
1499,103677.74358798558
1500,111842.42810517439
1501,136553.61300555506
1502,96145.03165400735
1503,166159.19714776124
1504,178026.10223838495
1505,160261.47563467934
1506,121915.06431934287
1507,160052.83278692828
1508,159017.79608826333
1509,92221.71398419962
1510,73932.71856377016
1511,80214.61814992008
1512,108866.6876731604
1513,87056.19863424118
1514,71219.00522514648
1515,105856.74598855292
1516,90460.4172133019
1517,77987.32590403786
1518,64116.560841756436
1519,141015.61278409092
1520,61312.79436804756
1521,63041.6984983842
1522,104039.89293171419
1523,56898.88288364545
1524,57850.330032902595
1525,55277.671470197114
1526,58211.198264627186
1527,61388.10224239502
1528,57929.22583798066
1529,72175.55217473161
1530,112466.48243187598
1531,67263.70475483505
1532,56430.286050655835
1533,73131.12665798844
1534,63376.797847751324
1535,69803.71458514647
1536,56954.32025152147
1537,46540.82645402274
1538,84613.05475042178
1539,109603.6354517096
1540,56190.11229639439
1541,68872.39028275188
1542,61985.91701861874
1543,109697.15755455292
1544,53797.92103151938
1545,55682.50788792479
1546,69456.63474345609
1547,72585.89959722091
1548,64294.25595869486
1549,62916.06886781291
1550,70314.34950019431
1551,61848.725910479894
1552,73625.49187219885
1553,80156.90489428467
1554,59940.51178339557
1555,108804.07528595888
1556,62923.4880868156
1557,62614.64007646156
1558,56566.457441847146
1559,55496.1867253439
1560,73354.48902367264
1561,71379.28968404562
1562,58675.459973760706
1563,59502.91317733377
1564,92918.7718242057
1565,80132.04321002218
1566,151716.70491198346
1567,55295.18584121178
1568,160554.6271015158
1569,76954.29052392993
1570,69423.67739691089
1571,66767.44332080589
1572,61903.67154583309
1573,148969.2390027399
1574,70206.31470430337
1575,158627.65580520232
1576,169100.77780436975
1577,152436.41828361154
1578,87547.3196460095
1579,75270.56486312722
1580,154542.16857560817
1581,72589.06159202007
1582,59779.19710005895
1583,173539.1563596818
1584,159794.6138360948
1585,67928.60278146782
1586,48328.06288760782
1587,56791.31405715521
1588,70610.9199080946
1589,55467.999885823454
1590,63302.289203104985
1591,51439.95705491751
1592,70445.88306680426
1593,68495.26259433004
1594,76187.79029385796
1595,69582.01732884832
1596,134065.7707877586
1597,90066.51740970262
1598,150250.69983839645
1599,98784.48751010688
1600,116971.15853552203
1601,46892.766290760796
1602,57416.75973047962
1603,48441.98570450826
1604,162589.65772235158
1605,171925.11332525947
1606,114615.23990266318
1607,95648.53129089152
1608,173469.3128269974
1609,146342.31753482908
1610,124518.58205128391
1611,77974.45046945015
1612,117989.30306064457
1613,117256.28719733482
1614,70930.61866430545
1615,57041.19384285729
1616,52999.23666837981
1617,54525.65644013342
1618,62428.99425762234
1619,70997.20315413456
1620,120498.6493736655
1621,73914.33597260626
1622,78734.36815510844
1623,174887.35706376308
1624,157832.99631793646
1625,60119.8363846952
1626,114996.44047607074
1627,153380.71067170287
1628,182070.3265892569
1629,157846.13908957667
1630,195763.75930659595
1631,158072.60665065295
1632,161284.00766489783
1633,148907.15366149833
1634,164799.95608149195
1635,160997.5864215144
1636,120411.16241612585
1637,144041.64669553156
1638,137558.3883191667
1639,142649.59483193723
1640,169612.661116593
1641,140878.20649199432
1642,158993.6430989952
1643,160981.28459685497
1644,171438.7642954992
1645,152960.28290104424
1646,92326.289056873
1647,109702.96577312215
1648,71935.53501618549
1649,67447.1409187598
1650,57053.184474702386
1651,57577.203241492185
1652,58089.31266166657
1653,59579.38750582343
1654,74222.9810668217
1655,78548.69380923909
1656,71459.2132804174
1657,72553.76422794015
1658,78599.9277742248
